Particle, PH, ToF, MCP PH
p577, 17.092746, 73.829864, 10.121666
p577, 16.885761, 77.045867, 7.9930954
p577, 16.66267, 74.987457, 26.86
p577, 16.914012, 76.421722, 38.546665
p577, 17.013193, 72.716857, 18.570715
p577, 17.349931, 67.884613, 24.479999
p577, 16.721689, 76.611084, 17.638334
p577, 16.751037, 78.913085, 10.008333
p577, 16.988246, 73.262603, 31.329849
p577, 17.418502, 77.916778, 65.191665
p577, 16.339214, 73.354003, 90.261665
p577, 16.56637, 77.073669, 22.421667
p577, 16.760984, 70.181854, 21.598333
p577, 16.628772, 74.512329, 54.808334
p577, 16.823186, 72.953552, 6.3333334
p577, 16.548788, 70.643219, 8.9611902
p577, 16.843971, 77.280914, 62.185001
p577, 17.187385, 73.920257, 34.514999
p577, 16.739994, 78.109405, 5.7199997
p577, 16.896911, 73.736419, 24.54
p577, 17.148412, 76.362365, 33.781189
p577, 16.678169, 81.171691, 8.3500003
p577, 16.883071, 71.287109, 23.468334
p577, 17.35231, 69.966735, 70.84333
p577, 16.651662, 73.291626, 17.026666
p577, 17.465984, 70.759643, 31.456666
p577, 16.802471, 75.811737, 8.6366663
p577, 17.07691, 71.574829, 44.723331
p577, 17.092886, 75.856658, 19.433332
p577, 16.975776, 68.807403, 33.686668
p577, 17.092037, 74.164337, 16.199167
p577, 16.990539, 71.21405, 56.432949
p577, 16.66255, 75.860748, 29.366666
p577, 17.438331, 76.5643, 21.584999
p577, 16.603599, 81.876892, 33.525302
p577, 16.966402, 47.087921, 5.2511539
p577, 16.67168, 79.691925, 71.250602
p577, 16.761343, 74.733001, 27.75
p577, 17.343034, 70.686889, 12.683333
p577, 17.04733, 72.097137, 15.034999
p577, 17.095949, 75.803955, 119.52954
p577, 17.339944, 61.432708, 5.1892423
p577, 16.60242, 77.258453, 68.44905
p577, 16.694612, 73.426971, 18.368333
p577, 16.940889, 75.855804, 13.029166
p577, 17.023223, 79.039428, 88.413238
p577, 17.009338, 74.464874, 30.679166
p577, 16.076839, 78.670715, 33.189998
p577, 16.9587, 79.112457, 34.985
p577, 16.428323, 74.437286, 63.228332
p577, 17.109424, 72.941406, 23.385833
p577, 16.868555, 72.135498, 16.904523
p577, 16.777166, 71.302246, 26.728332
p577, 17.169044, 72.851348, 11.299166
p577, 16.774322, 80.215637, 62.886051
p577, 16.730213, 70.261993, 106.64333
p577, 17.391864, 76.729064, 28.575
p577, 17.159814, 76.28482, 50.961666
p577, 16.680702, 76.038391, 26.456666
p577, 16.541532, 72.060882, 25.536794
p577, 16.816089, 75.841796, 23.223333
p577, 16.829338, 75.953064, 64.991668
p577, 16.760387, 77.213592, 56.256668
p577, 16.923471, 74.648407, 15.477857
p577, 17.244239, 78.713531, 37.116664
p577, 16.439296, 70.582824, 19.431667
p577, 16.662099, 70.838684, 21.70619
p577, 16.480651, 72.576782, 17.625
p577, 16.876007, 70.88916, 75.926193
p577, 17.536949, 73.106872, 28.576211
p577, 16.957527, 75.910034, 17.975
p577, 16.591249, 75.901245, 85.864997
p577, 16.626985, 69.195282, 92.018333
p577, 17.073116, 70.052093, 81.681663
p577, 16.589288, 74.43518, 52.115001
p577, 16.736503, 73.082885, 60.314998
p577, 16.930246, 74.545074, 25.088333
p577, 17.198377, 74.567993, 9.5366668
p577, 16.686033, 71.380615, 35.636665
p577, 17.025283, 71.643829, 64.171669
p577, 16.985605, 72.879974, 41.856212
p577, 16.605213, 73.410369, 34.717819
p577, 17.067365, 73.768646, 39.52
p577, 16.449573, 77.0578, 21.261667
p577, 17.000358, 79.561096, 10.658333
p577, 16.895261, 73.437255, 34.436668
p577, 16.2205, 73.44989, 80.438331
p577, 16.81628, 74.451965, 8.8716669
p577, 16.934047, 75.323333, 29.128334
p577, 16.95079, 74.389801, 63.800605
p577, 16.806606, 73.882934, 38.826667
p577, 16.598911, 71.657714, 31.27
p577, 16.910207, 74.294036, 23.531061
p577, 17.341779, 73.368713, 18.76
p577, 16.885078, 74.719879, 15.448333
p577, 16.386194, 76.658386, 47.854999
p577, 16.919691, 76.246673, 14.051666
p577, 16.859205, 68.801178, 48.941665
p577, 16.750986, 75.062622, 22.803333
p577, 16.934289, 71.797912, 26.067857
p577, 17.437393, 73.872222, 50.673332
p577, 17.091901, 72.607513, 65.088096
p577, 17.151857, 74.74414, 21.719524
p577, 16.307741, 78.799011, 10.594523
p577, 17.156095, 77.538665, 11.629761
p577, 16.629358, 76.336669, 50.356536
p577, 16.62803, 72.00888, 20.603332
p577, 16.923736, 74.11679, 13.138333
p577, 16.476093, 77.792999, 25.628334
p577, 17.119855, 72.932098, 50.115001
p577, 16.827419, 68.351562, 35.166667
p577, 16.857263, 77.977081, 32.919998
p577, 16.810506, 67.742981, 7.8666667
p577, 16.757997, 73.72174, 7.1750001
p577, 16.8071, 68.720336, 59.488334
p577, 16.517345, 75.603393, 36.448333
p577, 16.772836, 68.473693, 45.352855
p577, 17.032211, 75.657287, 7.7600002
p577, 17.203163, 75.368621, 56.606666
p577, 16.706571, 72.839386, 22.108333
p577, 17.334581, 73.957428, 25.996515
p577, 16.997995, 75.197052, 10.271666
p577, 17.007217, 60.243621, 21.354047
p577, 16.739906, 74.055664, 93.401664
p577, 16.660812, 79.786346, 15.189999
p577, 17.037183, 73.633483, 29.168333
p577, 17.205617, 75.804657, 14.558333
p577, 16.765932, 81.702758, 45.876796
p577, 16.633289, 75.492828, 28.305833
p577, 17.27732, 76.801055, 31.225
