************************************
*   Event  *     PH    *    ToF    *
*     1490 * 16.829484 * 73.998504 *
*     1493 * 16.963722 * 78.043365 *
*     1496 * 16.822456 * 72.682037 *
*     1497 *  15.72575 * 73.772552 *
*     1498 * 17.142667 * 73.932495 *
*     1499 * 16.649545 * 74.635559 *
*     1504 * 16.532390 * 70.310974 *
*     1509 * 16.624668 * 75.131408 *
*     1510 * 16.946189 * 70.491455 *
*     1513 * 16.994279 * 73.246673 *
*     1516 * 16.850652 * -140.8076 *
*     1517 * 17.397312 * 75.749847 *
*     1524 * 16.798206 * 76.527160 *
*     1527 * 16.660789 * 73.246917 *
*     1529 * 16.794136 * 76.367431 *
*     1535 * 16.923610 * 72.802887 *
*     1539 * 16.729108 * 66.885833 *
*     1540 * 16.726903 * 77.209411 *
*     1542 * 16.758495 * 73.902618 *
*     1548 * 16.856206 * 75.225555 *
*     1554 * 16.865610 * 72.970092 *
*     1556 * 16.881523 * 72.839721 *
*     1558 * 16.999696 * 76.545379 *
*     1562 * 17.118028 * -451.1189 *
*     1565 * 16.979297 * 70.944152 *
*     1569 * 16.995775 * 76.564605 *
*     1570 * 16.616041 * 74.498443 *
*     1580 * 16.587877 * 72.234680 *
*     1581 * 16.852117 * 72.408050 *
*     1582 * 16.609373 * 77.238586 *
*     1584 * 17.104801 * 70.587371 *
*     1586 * 32.410965 * 76.481811 *
*     1589 * 16.905262 * 78.743225 *
*     1592 * 16.709209 * 75.940246 *
*     1594 * 17.251455 * -645.4291 *
*     1602 * 16.464977 * 78.573547 *
*     1604 * 16.617778 * 75.060638 *
*     1607 * 16.932758 * 75.384368 *
*     1610 * 17.326919 * 72.840393 *
*     1615 * 17.070299 * 72.051452 *
*     1624 * 16.931795 * 73.371002 *
*     1625 * 33.194644 *  76.99646 *
*     1626 * 16.166317 * 76.178527 *
*     1630 * 16.698503 * 74.830291 *
*     1635 * 16.962354 * 70.042114 *
*     1636 * 17.135637 * 74.097320 *
*     1642 * 16.769092 * 76.387115 *
*     1644 * 17.176204 * 74.233612 *
*     1645 * 17.084617 * 72.911773 *
*     1649 * 16.960626 * 72.683929 *
*     1656 * 16.726545 * 76.016571 *
*     1665 * 16.908100 * 76.374755 *
*     1670 * 33.727870 * 74.650116 *
*     1671 * 16.623161 * 71.496368 *
*     1673 * 17.111043 * 65.674041 *
*     1683 * 17.231540 * 71.523559 *
*     1688 * 17.311586 * 66.215515 *
*     1700 * 17.063379 * 70.868072 *
*     1701 * 16.643983 * 75.779876 *
*     1709 * 16.756969 * 73.830230 *
*     1712 * 16.658041 * 73.774261 *
*     1716 * 17.248098 * 74.432312 *
*     1718 * 16.493711 * 71.529449 *
*     1721 * 16.673511 * 74.039215 *
*     1730 * 17.056240 * 75.636505 *
*     1731 * 16.561714 * 73.012847 *
*     1737 * 16.606515 * 70.976806 *
*     1740 * 17.073722 * 77.570312 *
*     1743 * 34.235958 * 76.691131 *
*     1746 * 16.363828 * 71.273529 *
*     1751 * 34.522991 * 77.366912 *
*     1753 * 16.953964 * 80.015869 *
*     1757 * 16.751918 * 65.334899 *
*     1758 * 17.013816 * 71.709045 *
*     1761 * 16.800622 *  73.40271 *
*     1762 * 16.819894 * 73.844879 *
*     1786 * 17.027259 * 73.607666 *
*     1790 * 16.607074 * 73.432189 *
*     1791 * 16.675453 * 68.191589 *
*     1793 * 17.027952 * 72.609924 *
*     1794 * 16.756683 * 74.234863 *
*     1797 * 16.529794 * 75.647583 *
*     1799 * 16.639377 *   74.1138 *
*     1801 * 17.180807 * 78.366546 *
*     1803 * 16.360963 * 73.481384 *
*     1804 * 16.878330 * 72.756469 *
*     1820 * 16.745449 * 74.112182 *
*     1821 * 16.884819 * 75.163940 *
*     1832 * 17.475324 * 75.046295 *
*     1838 * 17.100902 * 68.419097 *
*     1846 * 16.982606 * 67.820526 *
*     1847 * 16.983591 * 76.854431 *
*     1853 * 17.144134 * -438.5306 *
*     1854 * 16.704628 * 76.705261 *
*     1855 * 16.850988 * 70.173400 *
*     1856 * 16.933486 * 73.727478 *
*     1857 * 33.813472 * 76.012085 *
*     1859 * 17.135721 * 73.725341 *
*     1863 * 33.954734 * 75.241699 *
*     1867 * 16.966032 * 75.293701 *
*     1870 * 16.984592 * 74.610717 *
*     1872 * 17.222951 * 76.399231 *
*     1874 * 16.595586 * 78.513244 *
*     1875 * 17.080596 * 77.481231 *
*     1883 * 16.710620 * 74.300079 *
*     1885 * 16.643688 * 72.980529 *
*     1890 * 17.020288 * 71.863159 *
*     1898 * 17.188417 * 71.133331 *
*     1901 * 16.775728 * 67.946075 *
*     1902 * 16.913808 * 66.648284 *
*     1907 * 16.874391 * 75.519897 *
*     1912 * 16.707496 * 72.329315 *
*     1915 * 16.465564 * 75.770263 *
*     1917 * 16.798757 * 75.063446 *
*     1918 * 17.096630 * 70.456329 *
*     1920 * 17.006626 * -1446.211 *
*     1928 * 17.145162 * 69.091888 *
*     1929 * 16.619257 * 74.241516 *
*     1937 * 16.878036 * 76.444824 *
*     1945 * 17.211647 * 72.560913 *
*     1947 * 16.654182 * 70.541626 *
*     1952 * 17.269052 * 76.108123 *
*     1957 * 16.820032 * 70.053192 *
*     1963 * 16.861385 * 72.651489 *
*     1964 * 17.078611 * 75.772308 *
*     1969 * 16.754266 * 74.506591 *
*     1970 * 22.483926 * -970.6548 *
*     1972 * 17.025777 * 67.485412 *
*     1976 * 16.635284 * 76.108947 *
*     1977 * 16.983898 * 71.376190 *
*     1979 * 17.194433 * 76.200958 *
*     1982 * 17.060056 * 76.003570 *
*     1987 * 16.720888 * 72.077117 *
*     1990 * 17.289264 * 71.304870 *
*     1997 * 16.769369 * 75.195831 *
*     1999 * 16.532413 * 75.694427 *
*     2001 * 16.949796 * 74.557373 *
*     2005 * 16.857311 * 71.592315 *
*     2015 * 16.636364 * 74.462463 *
*     2023 * 16.536184 * 75.997009 *
*     2025 * 16.908466 * 75.510803 *
*     2026 * 17.170593 * 77.503662 *
*     2030 * 17.149745 * 70.868042 *
*     2035 * 16.975309 * 77.483520 *
*     2038 * 16.648851 * 70.894653 *
*     2041 * 16.659999 * 74.519043 *
*     2042 * 16.459381 * 75.796264 *
*     2043 * 16.278913 * 74.285156 *
*     2046 * 17.371835 * 69.350219 *
*     2051 * 16.817466 * 69.815368 *
*     2057 * 34.968341 * 76.010650 *
*     2061 * 16.858869 * 70.455993 *
*     2066 * 16.151779 * 75.244812 *
*     2072 * 16.842395 * 68.707336 *
*     2077 * 17.128507 * 73.350463 *
*     2080 * 16.925886 * -1354.455 *
*     2088 * 32.015651 * 76.563079 *
*     2095 * 35.176052 * 74.584716 *
*     2100 * 17.141569 * 80.301788 *
*     2106 * 16.742067 * 71.839721 *
*     2111 * 16.929079 * 74.499572 *
*     2113 * 16.892942 * 78.580841 *
*     2114 * 32.811351 * 76.923187 *
*     2115 * 33.694984 * 75.543731 *
*     2125 * 16.919586 * 66.798980 *
*     2126 * 17.001451 * 73.921722 *
*     2129 * 16.606651 * 72.076202 *
*     2130 * 16.615114 * 69.517852 *
*     2134 * 16.788168 * 76.656402 *
*     2135 * 16.688848 * 76.122589 *
*     2136 * 17.184267 * 77.000640 *
*     2138 * 16.736055 * 75.416534 *
*     2139 * 16.202655 * 68.242736 *
*     2140 * 16.875816 * 71.923950 *
*     2141 * 16.659727 * 82.473877 *
*     2146 * 16.914915 * 79.946411 *
*     2148 * 16.844903 * -1302.440 *
*     2152 * 16.619688 * 76.983276 *
*     2154 * 16.647434 * 76.617950 *
*     2164 * 16.734609 * 79.365966 *
*     2172 * 16.694633 * 72.890502 *
*     2174 * 16.588396 * 68.903686 *
*     2176 * 16.303039 * 71.862274 *
*     2178 * 16.536647 * 75.212860 *
*     2188 * 17.204467 * 73.021575 *
*     2189 * 17.184782 * 65.214233 *
*     2192 * 17.046815 * 75.180755 *
*     2197 * 17.099792 *   70.0513 *
*     2210 * 16.736600 * 72.849823 *
*     2212 *   16.7423 * 110.64514 *
*     2218 * 16.744609 * 76.093109 *
*     2223 * 16.516277 * 75.178619 *
*     2225 * 16.965545 * 74.661315 *
*     2227 * 17.145387 * 77.730621 *
*     2232 * 17.184919 * 77.324768 *
*     2240 * 17.019889 * 74.260681 *
*     2242 * 22.316476 * -692.8530 *
*     2244 * 20.686918 * -685.5914 *
*     2246 * 17.466142 * 70.462646 *
*     2250 * 17.207298 * 74.042694 *
*     2258 * 17.163072 * 78.493988 *
*     2259 * 17.469299 * 74.425506 *
*     2269 * 16.812187 * -1127.452 *
*     2270 * 16.469272 * 75.128814 *
*     2271 * 16.378440 * 75.733673 *
*     2273 * 16.786069 * 76.902435 *
*     2279 * 16.812866 * 80.813903 *
*     2282 * 16.676879 * 79.909912 *
*     2287 * 16.552602 * 74.362823 *
*     2288 * 17.028884 * 72.828735 *
*     2290 * 16.660306 * 75.846984 *
*     2294 * 17.238618 * 73.591430 *
*     2295 * 16.378208 * 71.223236 *
